show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_num,year_added
s2577,Movie,all day and a night,joe robert cole,jeffrey wright ashton sanders regina taylor yahya abdulmateen ii isaiah john kelly jenrette shakira janai paye,united states,5/1/2020,2020,R,122 min,"Dramas, Independent Movies",while serving life in prison a young man looks back at the people the circumstances and the system that set him on the path toward his crime,122,2020
s2578,Movie,cracked up the darrell hammond story,michelle esrick,darrell hammond,united states,5/1/2020,2018,TV-MA,97 min,Documentaries,saturday night live star darrell hammond reveals the extreme abuse he suffered during childhood a trauma that nearly destroyed his life as an adult,97,2020
s2579,Movie,get in,olivier abbou,adama niane stphane caillard paul hamy eddy leduc hubert delattre matthieu kacou charlotte geiger christopher fataki,france belgium,5/1/2020,2019,TV-MA,98 min,"International Movies, Thrillers",when he returns from vacation and finds his home occupied by squatters a family man is caught in a conflict that escalates to terrifying heights,98,2020
s2580,Movie,go go cory carson the chrissy,alex woo stanley moore,alan c lim maisie benson kerry gudjohnsen terrance smith paul killam omari weaver ella joy ballesteros smith foreman stanley moore,united states,5/1/2020,2020,TV-Y,42 min,Children & Family Movies,the carson kids win a talent show with a dance that cory created but when the chrissy catches on his little sister gets all of the attention,42,2020
s2581,TV Show,hollywood,not available,david corenswet darren criss patti lupone jeremy pope jim parsons laura harrier joe mantello dylan mcdermott jake picking holland taylor samara weaving,united states,5/1/2020,2020,TV-MA,1 Season,TV Dramas,in postworld war ii hollywood an ambitious group of aspiring actors and filmmakers will do almost anything to make their showbiz dreams come true,1,2020
s2582,Movie,i am divine,jeffrey schwarz,not available,united states,5/1/2020,2013,TV-MA,90 min,"Documentaries, LGBTQ Movies",this captivating documentary explores the life and work of filmmaker john waterss muse internationally celebrated drag superstar divine,90,2020
s2583,Movie,madagascar escape 2 africa,eric darnell tom mcgrath,ben stiller chris rock david schwimmer jada pinkett smith sacha baron cohen cedric the entertainer andy richter bernie mac alec baldwin sherri shepherd,united states,5/1/2020,2008,PG,91 min,"Children & Family Movies, Comedies",a botched rescue strands alex the lion and his companions in africa sadly alex discovers he has little in common with the locals,91,2020
s2584,TV Show,masha and the bear,not available,alina kukushkina boris kutnevich giselle nieto elsie fisher,russia,5/1/2020,2019,TV-Y,4 Seasons,Kids' TV,lively little masha lives near the forest where she has many wonderful adventures with her best friend a bear who used to be in the circus,4,2020
s2585,Movie,material,craig freimond,vincent ebrahim riaad moosa joey rasdien denise newman krijay govender nik rabinowitz zakeeya patel carishma basday royston stoffels mel miller,south africa,5/1/2020,2012,TV-14,94 min,"Comedies, Dramas, International Movies",a dutiful son must hide his pursuit of standup comedy from his staunch father who expects him to inherit his store and uphold their muslim beliefs,94,2020
s2586,TV Show,medici masters of florence,not available,richard madden dustin hoffman stuart martin annabel scholey,italy united kingdom france,5/1/2020,2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas",after his fathers murder banking heir cosimo medici battles opponents of his artistic economic and political visions for 15thcentury florence,3,2020
s2587,TV Show,monthly girls nozaki kun,not available,yuichi nakamura ari ozawa nobuhiko okamoto yuki ono ryohei kimura mai nakahara miyuki sawashiro mamoru miyano marie miyake ayako kawasumi kenta miyake daisuke ono,japan,5/1/2020,2014,TV-PG,1 Season,"Anime Series, Romantic TV Shows",art imitates life when chiyo discovers her crush is a famous artist who wants to use their budding relationship as inspiration for his romantic manga,1,2020
s2588,Movie,mrs serial killer,shirish kunder,jacqueline fernandez manoj bajpayee mohit raina zayn marie khan,india,5/1/2020,2020,TV-MA,107 min,"International Movies, Thrillers",when a doctor gets jailed for a string of shocking murders his loyal wife sets out to commit a copycat crime to prove his innocence,107,2020
s2589,TV Show,oh yuck,not available,kayne tremills nia roam david collins shane dundas,canada,5/1/2020,2020,TV-G,1 Season,"Kids' TV, TV Comedies",using a concoction of cartoons comedy and live action dr yuck and his eccentric lab mates investigate the science behind the planets ickiest things,1,2020
s2590,Movie,psycho,mysskin,udhayanidhi stalin aditi rao hydari nithya menon ram rajkumar pitchumani,india,5/1/2020,2020,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",as a visually impaired man attempts to rescue his love interest from a serial killer the dark story behind the murderers disturbing psyche emerges,143,2020
s2591,TV Show,reckoning,not available,aden young sam trammell simone kessell laura gordon gloria garayua mitzi ruhlmann milly alcock ed oxenbould finn little anthony phelan diana glenn lauren pegus,australia united states,5/1/2020,2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",when a local teen is murdered in their quiet suburban community two fathers intent on protecting their families must contend with their inner demons,1,2020
s2592,Movie,the half of it,alice wu,leah lewis daniel diemer alexxis lemire wolfgang novogratz collin chou becky ann baker enrique murciano macintyre dixon catherine curtin,united states,5/1/2020,2020,PG-13,105 min,"Comedies, Dramas, LGBTQ Movies",when smart but cashstrapped teen ellie chu agrees to write a love letter for a jock she doesnt expect to become his friend  or fall for his crush,105,2020
s2593,Movie,the heartbreak kid,bobby farrelly peter farrelly,ben stiller michelle monaghan jerry stiller malin akerman stephanie courtney rob corddry carlos mencia ali hillis danny mcbride scott wilson,united states,5/1/2020,2007,R,116 min,"Comedies, Romantic Movies",ben stiller stars as a newlywed who marries a dreamy woman only to learn on their honeymoon that shes a total nightmare,116,2020
s2594,Movie,thomas friends marvelous machinery a new arrival,joey so,joseph may keith wickham yvonne grundy jules de jongh rachael louise miller rob rackstraw mike grady,unknown,5/1/2020,2020,TV-Y,23 min,Children & Family Movies,with a technology fair in sodor thomas and the steam team tackle a flurry of tasks  but can they complete their deliveries before the grand opening,23,2020
s2595,Movie,thomas friends marvelous machinery world of tomorrow,joey so,joseph may keith wickham yvonne grundy matt mccooey joe swash jules de jongh rob rackstraw rachael louise miller mike grady siusee hung,unknown,5/1/2020,2020,TV-Y,23 min,Children & Family Movies,amid special demonstrations in sodor thomas and the gang worry theyll be replaced by new inventions until a mission shows how useful they really are,23,2020
s2596,Movie,thomas friends thomas and the royal engine,joey so,rosamund pike joseph may keith wickham sharon miller jules de jongh rachael louise miller rob rackstraw,unknown,5/1/2020,2020,TV-Y,23 min,Children & Family Movies,an invitation from the queen sends thomas and the crew to london as they weave through delays and debacles while racing to a royal celebration,23,2020
s2597,Movie,what a girl wants,dennie gordon,amanda bynes colin firth kelly preston eileen atkins anna chancellor jonathan pryce oliver james christina cole,united states united kingdom,5/1/2020,2003,PG,105 min,"Children & Family Movies, Comedies",in search of the father shes never met the daughter of a bohemian american woman heads to europe and finds that her dad is an uptight politician,105,2020
s2598,Movie,dangerous lies,michael m scott,camila mendes jessie t usher jamie chung cam gigandet sasha alexander elliott gould,united states,4/30/2020,2020,TV-14,97 min,Thrillers,a broke caregiver unexpectedly inherits her patients estate but dark secrets swirl around her newfound wealth tangling her in deceit and danger,97,2020
s2599,TV Show,drifting dragons,not available,tomoaki maeno sora amamiya soma saito kana hanazawa junichi suwabe tomokazu seki takahiro sakurai kohsuke toriumi rie kugimiya kentaro kumagai makoto furukawa takashi matsuyama shunsuke takeuchi yuto uemura chinatsu akasaki junya enoki kazuhiko inoue hiroo sasaki,japan,4/30/2020,2020,TV-14,1 Season,"Anime Series, International TV Shows",dragons are on the menu as the crew of the airship quin zaza sets out on a hunt if they fail empty stomachs will be the least of their worries,1,2020
s2600,TV Show,el seor de los cielos,not available,rafael amaya ximena herrera robinson daz ral mndez gabriel porras carmen villalobos mauricio ochmann fernanda castillo marlene favela carmen aub maritza rodrguez,united states mexico colombia,4/30/2020,2019,TV-MA,7 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",only aurelio casillas can fill pablo escobars shoes and become mexicos biggest drug trafficker of the 90s,7,2020
s2601,TV Show,good witch,not available,catherine bell bailee madison rhys matthew bond james denton catherine disher anthony lemke peter macneill hannah endicottdouglas noah cappe kylee evans,united states canada,4/30/2020,2019,TV-PG,5 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",raising her daughter in a small town an enchanting widow with magical powers provokes the interest and exasperation of a skeptical bigcity doctor,5,2020
s2602,Movie,rich in love,bruno garotti,danilo mesquita giovanna lancellotti jaffar bambirra lell ernani moraes gillray coutinho jeniffer dias bruna griphao fernanda paes leme,brazil,4/30/2020,2020,TV-14,105 min,"Comedies, International Movies, Romantic Movies",rich kid teto is determined to prove himself to paula his love interest but when he tells her he grew up poor the lie spins out of control,105,2020
s2603,TV Show,the forest of love deep cut,sion sono,kippei shiina shinnosuke mitsushima kyooko hinami eri kamataki young dais natsuki kawamura yuzuka nakaya dai hasegawa chiho fujii sei matobu denden,japan,4/30/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",nothings as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women,1,2020
s2604,TV Show,the victims game,david chuang chen kuanchung,joseph chang hsu weining jason wang ruby lin moon lee river huang chen chiakuei ding ning hsia chingting rexen cheng,taiwan,4/30/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",after discovering his estranged daughters link to mysterious murders a forensic detective with aspergers syndrome risks everything to solve the case,1,2020
s2605,Movie,a secret love,chris bolan,not available,united states,4/29/2020,2020,TV-14,83 min,"Documentaries, LGBTQ Movies",amid shifting times two women kept their decadeslong love a secret but coming out later in life comes with its own set of challenges,83,2020
s2606,Movie,eki elmalar,ylmaz erdoan,ylmaz erdoan farah zeynep abdullah songl den kran oval devrim yakut kr zyldz fatih artman cezmi baskn caner cindoruk ersin korkut,turkey,4/29/2020,2016,TV-PG,109 min,"Dramas, International Movies",in an eastern turkish town suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths,109,2020
s2607,TV Show,extracurricular,not available,kim donghee jung dabin park juhyun nam yoonsu choi minsoo kim yeojin park hyukkwon,south korea,4/29/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",a model high school student whos steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret,1,2020
s2608,Movie,love is war,omoni oboli,omoni oboli richard mofedamijo jide kosoko akin lewis bimbo manuel shaffy bello toke makinwa femi branch uzor osimkpa,nigeria,4/29/2020,2019,TV-14,111 min,"Comedies, Dramas, International Movies",an adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor,111,2020
s2609,Movie,murder to mercy the cyntoia brown story,not available,not available,united states,4/29/2020,2020,TV-MA,97 min,Documentaries,after 16yearold cyntoia brown is sentenced to life in prison questions about her past physiology and the law itself call her guilt into question,97,2020
s2610,TV Show,nadiyas time to eat,not available,nadiya hussain,united kingdom,4/29/2020,2020,TV-G,1 Season,"British TV Shows, International TV Shows, Reality TV",on this cooking show nadiya hussain serves up delicious shortcuts vital ingredients and fast favorites  perfect for todays timestrapped families,1,2020
s2611,Movie,rknagar,saravana rajan,vaibhav reddy sana althaf sampath raj inigo prabhakaran anjana keerthi subbu panchu,india,4/29/2020,2019,TV-14,132 min,"Action & Adventure, Comedies, Dramas",things look up for a chennai man struggling to make ends meet when he falls for a politicians daughter  until he gets entangled in a murder case,132,2020
s2612,TV Show,tjovitjo,not available,warren masemola nobulali dangazele rapulana seiphemo sibulele gcilitshana jabulile mahlambi ntosh madlingozi hlengiwe lushaba kanyi nokwe harriet manamela soso rungqu fisiwe kubeka victor mohale,south africa,4/29/2020,2017,TV-MA,2 Seasons,"International TV Shows, TV Dramas",amidst poverty and struggle a hardened pantsula dance leader enters a dark space and searches for redemption and salvation in his community,2,2020
s2613,Movie,beynelmilel,muharrem glmez srr sreyya nder,cezmi baskn zg namal umut kurt nazmi krk bahri beyat meral okay dilber ay ahin irmak oktay kaynarca burak tamdoan,turkey,4/28/2020,2006,TV-MA,102 min,"Comedies, Dramas, International Movies",when a local musician and his band are forced to perform in honor of a rightwing coup his daughter schemes to make their music subversive instead,102,2020
s2614,Movie,bir baba hindu,sermiyan midyat,sermiyan midyat afak sezer nicole faria burak satbol,turkey india,4/28/2020,2016,TV-MA,107 min,"Action & Adventure, Comedies, International Movies",a istanbul mobster falls for an indian yoga instructor whose abduction takes him on a wild rescue mission to mumbai,107,2020
s2615,Movie,boushkash,ahmed yousry hazem fouda,mohamed saad zeina ezzat abou aouf edward hassan hosny ahmed rateb hamdi el sakhawy safaa eltoukhy,egypt,4/28/2020,2008,TV-MA,100 min,"Comedies, International Movies",a former goalkeeperturnedtalent scout embarks on a mischievous adventure to recruit players for egyptian football clubs,100,2020
s2616,Movie,cinar agaci,handan peki,nurgl yeilay celile toyon uysal deniz deha lostar settar tanren suzan aksoy hseyin avni danyal jlide kural ragp sava,turkey,4/28/2020,2011,TV-14,115 min,"Comedies, Dramas, International Movies",a matriarch and her grandson forge a special bond during family picnics every two months until her health causes a conflict among the relatives,115,2020
s2617,Movie,grmce,kvan barun,eda ece dilah demir gupse zay bura glsoy,turkey,4/28/2020,2016,TV-MA,104 min,"Comedies, International Movies, Music & Musicals",when his jealous sister plots to wreck his engagement a young man does everything he can to protect his betrothed from her devious schemes,104,2020
s2618,Movie,stanbul krmzs,ferzan zpetek,halit ergen nejat ler mehmet gnsr idem selk onat tuba bykstn serra ylmaz zerrin tekindor ayten gker pek bilgin ergin bal,italy turkey,4/28/2020,2017,TV-MA,110 min,"Dramas, Independent Movies, International Movies",upon his return to istanbul an expat writereditor finds himself stranded inside a web of tangled relationships after his filmmaker friend vanishes,110,2020
s2619,Movie,kk esnaf,bedran gzel,brahim bykak zeynep koak gupse zay cengiz bozkurt,turkey,4/28/2020,2016,TV-MA,100 min,"Comedies, International Movies",as an honest locksmith scrambles to pay his late fathers hefty debt to the mafia he crosses paths with a woman in similar trouble and falls for her,100,2020
s2620,Movie,lembi 8 giga,ashraf fayeq,mohamed saad mai ezz eldin hassan hosny youssef fawzy youssef eid ahmad mounir khaled talaat maged el kedwany entsar maysara,unknown,4/28/2020,2010,TV-MA,111 min,"Comedies, International Movies",to upgrade his life a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive,111,2020
s2621,Movie,neseli hayat,ylmaz erdoan,ylmaz erdoan ersin korkut bra pekin erdal tosun rza akn sinan bengier cezmi baskn ayberk atilla fatma murat metin yldz,turkey,4/28/2020,2009,TV-14,108 min,"Comedies, International Movies",burdened by troubles and caught between cultures riza takes a job as a mall santa and finds that real life may not be so different from makebelieve,108,2020
s2622,Movie,organize isler,ylmaz erdoan,ylmaz erdoan tolga evik demet akba altan erkekli zg namal erdal tosun tuncer salman ner erkan ebru akel baak kklkaya cem ylmaz,turkey,4/28/2020,2005,TV-14,104 min,"Action & Adventure, Comedies, International Movies",a gang leader recruits a suicidal superman impersonator while a woman driving a hot car linked to the gang plots revenge against them and their hero,104,2020
s2623,Movie,the reliant,paul munger,kevin sorbo mollee gray eric roberts brian bosworth julia denton blake burt marisa lynae hampton josh murray kiera strauss tyler sanders,united states,4/28/2020,2019,PG-13,116 min,"Dramas, Faith & Spirituality",when a town suffers an economic collapse social unrest forces a family to seek refuge in the wilderness as bitter outlaws threaten their survival,116,2020
s2624,Movie,well be right back after the break,ahmed nader galal,karim abdel aziz dina fouad mohamed lotfy ahmed rateb rasha amin youssef eid mostafa abbas maged el kedwany sabri abdulmonem abdalah mishrif,egypt,4/28/2020,2012,TV-14,106 min,"Action & Adventure, Comedies, International Movies",while fighting a child custody battle against his fatherinlaw a taxi driver loses his memory when his son is kidnapped,106,2020
s2625,Movie,5gang,matei dima,andrei selaru dorian popa julia marcan ana radu cosmin nedelcu diana condurache andrei gavril luca bogdan,romania,4/27/2020,2019,TV-14,96 min,"Comedies, International Movies",to keep the band together selly tries to earn money by making an appearance at the birthday party of a mobsters daughter  until he gets kidnapped,96,2020
s2626,Movie,love aaj kal,imtiaz ali,kartik aaryan sara ali khan randeep hooda arushi sharma simone singh monika pawar amrit arora siddharth kak,india,4/27/2020,2020,TV-MA,140 min,"Dramas, International Movies, Romantic Movies",when professional ambitions clash with personal feelings for a modernday couple a love story from a bygone decade may offer some wisdom,140,2020
s2627,Movie,the lift boy,jonathan augustin,moin khan nyla masood saagar kale neha bam aneesha shah damian alexander dsouza kaustubh narain shilpa iyer nil mani pallas prajapati,india,4/27/2020,2020,TV-MA,107 min,"Dramas, Independent Movies, International Movies",when a lazy young man replaces his father as the elevator operator of a posh residential complex what he sees as menial work soon takes on new meaning,107,2020
s2628,TV Show,coronavirus explained,not available,not available,united states,4/26/2020,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV",in 2020 the world changed this topical series examines the coronavirus pandemic the efforts to combat it and ways to manage its mental health toll,1,2020
s2629,TV Show,the last kingdom,not available,alexander dreymon emily cox david dawson ian hart rune temte matthew macfadyen rutger hauer tobias santelmann peter gantzler adrian bower joseph millson henning valin jakobsen alexandre willaume thomas w gabrielsson,united kingdom,4/26/2020,2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure",as alfred the great defends his kingdom from norse invaders uhtred  born a saxon but raised by vikings  seeks to claim his ancestral birthright,4,2020
s2630,Movie,bheeshma,venky kudumula,nitin reddy rashmika mandanna sampath raj jishu sengupta anant nag,india,4/25/2020,2020,TV-14,138 min,"Action & Adventure, Comedies, International Movies",tired of being single a smartaleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed ceo of her workplace,138,2020
s2631,Movie,bittersweet,khaled marei,ahmed helmy lotfy labib edward enaam salousa,egypt,4/25/2020,2010,TV-MA,132 min,"Comedies, Dramas, International Movies",after 20 years abroad a photographer returns to his birth country of egypt and gets stranded without identification in a now unfamiliar culture,132,2020
s2632,TV Show,my secret romance,not available,sung hoon song jieun kim jaeyoung jeong dasol lee kanhee kim jonggoo park sinun jeon somin,south korea,4/25/2020,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",a nutritionist gets entangled in a series of misunderstandings with her new chaebol boss  who turns out to be someone she slept with in the past,1,2020
s2633,Movie,no direction home bob dylan,martin scorsese,bob dylan joan baez dave van ronk peter yarrow allen ginsberg pete seeger maria muldaur mavis staples al kooper tony glover,united kingdom united states japan,4/25/2020,2005,TV-MA,208 min,"Documentaries, Music & Musicals",featuring rare concert footage and interviews with legendary musicians this documentary traces bob dylans life story and extraordinary career,208,2020
s2634,Movie,she made me a criminal,amr arafa,ahmed helmy ghada adel hassan hosny riham abdel ghafour edward abdullah moshref youssef eid mohamed sharaf,egypt,4/25/2020,2006,TV-14,105 min,"Comedies, International Movies",in order to get her trust fund money from her wealthy but miserly father a woman enlists a naive young man to help fake her own kidnapping,105,2020
s2635,Movie,the artist,michel hazanavicius,jean dujardin brnice bejo john goodman james cromwell penelope ann miller missi pyle beth grant ed lauter joel murray elizabeth tulloch ken davitian malcolm mcdowell,france belgium united states,4/25/2020,2011,PG-13,101 min,"Comedies, Dramas, Independent Movies",winner of five oscars this blackandwhite silent film follows the romance between a silentera legend on a downward spiral and a rising starlet,101,2020
s2636,Movie,the dealer,ahmed saleh,ahmed el sakka khaled el nabawy mai selim nedal el shafey boris abramov selami ahin,egypt,4/25/2020,2010,TV-14,124 min,"Action & Adventure, International Movies",separated by distance and circumstance two bitter rivals cross paths when the perils of the drug trade unexpectedly unite them,124,2020
s2637,Movie,the international player,ahmed medhat,youssef el sherif arwa gouda salah abdullah mohamed lotfy dalal abdel aziz rahmah hasan,egypt,4/25/2020,2009,TV-14,93 min,"Dramas, International Movies, Sports Movies",a footballer for a local club aspires to join the big leagues then gets his shot at going pro fueling his teams rise to victory,93,2020
s2638,Movie,the promise,mohamed yassin,asser yassin ruby ghassan massoud bassem samra ahmed azmy,egypt,4/25/2020,2008,TV-14,110 min,"Dramas, International Movies",when his powerful crime czar boss kills the man he considered a mentor a young gangster on the rise goes to war in order to get revenge,110,2020
s2639,Movie,,ahmed nader galal,ahmed helmy laila ezz el arab mahmoud el fishawy mohamed farraag sarrah abdelrahman rahma hassan amir salah hany el sabagh,egypt,4/25/2020,2009,TV-14,115 min,"Comedies, Dramas, International Movies",on his wedding day an arrogant greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again,115,2020
s2640,TV Show,,not available,bashar alshatti fatima al safi maram balochi hamad ashkanani nour alghandour khaled alshaer,unknown,4/25/2020,2019,TV-14,1 Season,"International TV Shows, TV Dramas",a group of women leaves kuwait to attend university in cairo embarking on personal journeys filled with romance and selfdiscovery,1,2020
s2641,TV Show,after life,not available,ricky gervais tom basden tony way diane morgan mandeep dhillon david bradley ashley jensen kerry godliman,united kingdom,4/24/2020,2020,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies",struggling to come to terms with his wifes death a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help,2,2020
s2642,TV Show,dreamworks spooky stories volume 2,not available,seth rogen will arnett hugh laurie will ferrell david cross sean bishop kiefer sutherland cody cameron aron warner,unknown,4/24/2020,2011,TV-PG,1 Season,"Kids' TV, TV Comedies",the shrek characters parody the music video thriller bob and pals battle zombie carrots and megamind faces the effects of the button of doom,1,2020
s2643,Movie,kolaiyuthir kaalam,chakri toleti,nayanthara bhoomika chawla prem kathir rohini hattangadi pratap pothen julian freund,india,4/24/2020,2019,TV-14,107 min,"International Movies, Thrillers",the speechandhearingimpaired heiress of a palatial mansion must rely on basic instincts when a masked invader is determined to kill her,107,2020
s2644,TV Show,love 101,not available,pnar deniz kubilay aka mert yazcolu alina boz selahattin paal pek filiz yazc kaan urgancolu mfit kayacan bade il tuba nsal,turkey,4/24/2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",while trying to make their teacher fall for a basketball coach four misfits and a model student find friendship love and the courage to be themselves,1,2020
s2645,Movie,yours sincerely kanan gill,neville shah,kanan gill,india,4/24/2020,2020,TV-MA,72 min,Stand-Up Comedy,revisiting life goals set in a letter written as a teen to his future self comedian kanan gill reports back on if hes lived up to his own expectations,72,2020
s2646,TV Show,ghost in the shell sac2045,not available,atsuko tanaka osamu saka akio otsuka koichi yamadera yutaka nakano toru okawa takashi onozuka taro yamaguchi sakiko tamagawa megumi han kenjiro tsuda kaiji soze shigeo kiyama,japan united states,4/23/2020,2020,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows",after a global financial crisis the world is engulfed in an aidriven sustainable war its up to section 9 to counter new forms of cyber threats,1,2020
s2647,Movie,my stupid boss,upi avianto,bunga citra lestari reza rahadian alex abbad bront palarae chew kin wah atikah suhaime iskandar zulkarnain melissa karim richard oh ting tan,indonesia,4/23/2020,2016,TV-G,107 min,"Comedies, International Movies",after moving to kuala lumpur diana lands a secretary job at an ironworks owned by her husbands old college friend possibly the worlds worst boss,107,2020
s2648,Movie,my stupid boss 2,upi avianto,reza rahadian bunga citra lestari chew kin wah atikah suhaime iedil putra iskandar zulkarnain alex abbad melissa karim,indonesia,4/23/2020,2019,TV-14,95 min,"Comedies, International Movies",having driven away many of his employees bossman and three of his longsuffering workers try to find cheap labor in vietnam but find trouble instead,95,2020
s2649,TV Show,the house of flowers,not available,vernica castro aislinn derbez cecilia surez dario yazbek bernal paco len arturo ros juan pablo medina vernica langer lucas velzquez,mexico,4/23/2020,2020,TV-MA,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",in this dark comedy a wealthy matriarch tries to maintain her familys facade of perfection after her husbands mistress exposes their dirty secrets,3,2020
s2650,Movie,this earth of mankind,hanung bramantyo,iqbaal ramadhan mawar de jongh sha ine febriyanti giorgino abraham bryan domani jerome kurnia donny damara ayu laksmi,indonesia,4/23/2020,2019,TV-14,180 min,"Dramas, International Movies",a javanese royal and halfdutch woman fall in love as indonesia rises to independence from colonial rule based on pramoedya ananta toers famed novel,180,2020
s2651,Movie,time to hunt,yoon sunghyun,lee jehoon ahn jaehong choi wooshik park jeongmin park haesoo,south korea,4/23/2020,2020,TV-MA,135 min,"International Movies, Thrillers",wanting to leave their dystopian world behind for a faraway paradise three outlaws plot a money heist  and draw the attention of a vicious killer,135,2020
s2652,TV Show,absurd planet,not available,afi ekulona,united states,4/22/2020,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Comedies",a cast of quirky critters and mother nature herself narrate this funny science series which peeks into the lives of earths most incredible animals,1,2020
s2653,Movie,circus of books,rachel mason,not available,united states,4/22/2020,2020,TV-MA,87 min,"Documentaries, LGBTQ Movies",for decades a nice jewish couple ran circus of books a porn shop and epicenter for gay la their director daughter documents their life and times,87,2020
s2654,Movie,the plagues of breslau,patryk vega,magorzata kouchowska daria widawska katarzyna bujakiewicz maria dejmek andrzej grabowski ewa kasprzyk jacek beler wojciech kalinowski igor kujawski iwona bielska tomasz owieciski,poland,4/22/2020,2018,TV-MA,94 min,"International Movies, Thrillers",after a body is found sewn inside a cow hide a wrocaw detective discovers a killer is recreating an 18thcentury plague of criminal punishments,94,2020
s2655,Movie,the set up,niyi akinmolayan,adesua etomi jim iyke dakore akande marie humbert ayoola ayolola tina mba joke silva kehinde bankole,nigeria,4/22/2020,2019,TV-MA,105 min,"Dramas, International Movies",manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress,105,2020
s2656,Movie,the silence of the marsh,marc vigil,pedro alonso nacho fresneda carmina barrios jos ngel egido lex monner ral prieto maite sandoval javier godino luis zahera miguel de lira,spain,4/22/2020,2019,TV-MA,93 min,"International Movies, Thrillers",while researching corruption for his new book a successful crime novelist shades the line between fiction and reality,93,2020
s2657,Movie,the willoughbys,kris pearn,will forte maya rudolph ricky gervais alessia cara terry crews jane krakowski martin short sen cullen,canada united states united kingdom,4/22/2020,2020,PG,92 min,"Children & Family Movies, Comedies",four siblings with horribly selfish parents hatch a plan to get rid of them for good and form a perfectly imperfect family of their own,92,2020
s2658,TV Show,win the wilderness,not available,not available,united kingdom,4/22/2020,2020,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",six couples compete to prove theyve got the survival skills to win the deed to an extraordinary home deep in the vast rugged wilderness of alaska,1,2020
s2659,TV Show,bleach,not available,masakazu morita fumiko orikasa yuki matsuoka noriaki sugiyama hiroki yasumoto kentaro ito ryotaro okiayu,japan,4/21/2020,2006,TV-14,5 Seasons,"Anime Series, International TV Shows",after teenager ichigo kurosaki acquires superpowers from wounded soul reaper rukia kuchiki the two of them join forces to round up lost souls,5,2020
s2660,TV Show,middleditch schwartz,ryan polito,thomas middleditch ben schwartz,united states,4/21/2020,2020,TV-MA,1 Season,TV Comedies,comedy duo thomas middleditch and ben schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials,1,2020
s2661,TV Show,nicky jam el ganador,not available,nicky jam diego cadavid ana lucia dominguez darkiel osvaldo friger jarlin javier martinez luis rivera nestor rodulfo luis gonzaga,puerto rico united states colombia,4/21/2020,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",follow reggaeton artist nicky jams struggles to overcome drug addiction and rise to international success in this dramatization of his life story,1,2020
s2662,TV Show,cooked with cannabis,not available,kelis leather storrs,united states,4/20/2020,2020,TV-MA,1 Season,Reality TV,chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb thc infusions and cbd sauces,1,2020
s2663,TV Show,the midnight gospel,not available,duncan trussell phil hendrie drew pinsky joey diaz natasha leggero johnny pemberton christina pazsitzky anne lamott damien echols trudy goodman maria bamford pauly shore doug lussenhop david nichtern steve little caitlin doughty stephen root,united states,4/20/2020,2020,TV-MA,1 Season,TV Comedies,traversing trippy worlds inside his universe simulator a space caster explores existential questions about life death and everything in between,1,2020
s2664,Movie,varane avashyamund,anoop sathyan,shobana suresh gopi dulquer salmaan kalyani priyadarshan kpac lalitha sarvajith santosh sivan urvashi johny antony lalu alex lal jose,india,4/20/2020,2020,TV-14,144 min,"Comedies, Dramas, International Movies",at an apartment complex the lives of a mother a daughter seeking an arranged marriage a military retiree and a young man become intertwined,144,2020
